"system_readout_id","vehicle_identification_number","engine_type","vehicle_type","mileage","engine_feature_2","engine_feature_3_1","engine_feature_3_2","engine_feature_4","engine_feature_5","engine_feature_6","engine_feature_7","engine_feature_8","engine_feature_9_1","engine_feature_9_2","engine_feature_10_1","engine_feature_10_2","engine_feature_11_1","engine_feature_11_2","engine_feature_11_3","engine_feature_11_4","engine_feature_11_5","engine_feature_11_6","engine_feature_11_7","engine_feature_11_8","engine_feature_11_9","engine_feature_11_10","engine_feature_11_11","engine_feature_11_12","engine_feature_11_13","engine_feature_11_14","engine_feature_11_15","engine_feature_11_16","engine_feature_11_17","engine_feature_11_18","engine_feature_11_19","engine_feature_11_20","engine_feature_11_21","engine_feature_11_22","engine_feature_11_23","engine_feature_11_24","engine_feature_11_25","engine_feature_11_26","engine_feature_11_27","engine_feature_11_28","engine_feature_11_29","engine_feature_11_30","engine_feature_11_31","engine_feature_11_32","engine_feature_11_33","engine_feature_11_34","engine_feature_11_35","engine_feature_11_36","engine_feature_11_37","engine_feature_11_38","engine_feature_11_39","engine_feature_11_40","engine_feature_11_41","engine_feature_11_42","engine_feature_11_43","engine_feature_11_44","engine_feature_11_45","engine_feature_11_46","engine_feature_11_47","engine_feature_11_48","engine_feature_12_1","engine_feature_12_2","engine_feature_12_3","engine_feature_12_4","engine_feature_12_5","engine_feature_13_1","engine_feature_13_2","engine_feature_13_3","engine_feature_13_4","engine_feature_13_5","engine_feature_14_1","engine_feature_14_2","engine_feature_14_3","engine_feature_14_4","engine_feature_14_5","engine_feature_15_1","engine_feature_15_2","engine_feature_15_3","engine_feature_15_4","engine_feature_15_5","engine_feature_15_6","engine_feature_15_7","engine_feature_15_8","engine_feature_15_9","engine_feature_15_10","defect"
101624,81859,1,1,1912,354,5.40112994350283,0.125606010671689,0.63520753968254,27.3142857142857,5.05714285714286,70,9969.71428571429,0,0,1916,139.2,0.00243,0,0.00304,0.00181,0,0,0,0,2.93347,18.00221,13.35119,16.7857,9.19516,0.51138,0.01458,0,0.03826,0.68203,5.49644,13.43076,11.3749,1.49893,0.01093,0,0.00424,0.0741,0.71728,1.82081,2.22408,0.62799,0.04738,0,0,0,0.03218,0.232,0.48163,0.1002,0.02064,0,0,0,0,0.01762,0.20163,0.05709,0.00789,0,29.41132,70.59174,0,0,0,23.94867,76.05286,0,0,0,0.05493,0,53.01361,46.93451,0,0.36667,1.32778,1.71389,1.26111,1.06111,0.77778,0.09722,0.025,0.025,0.00556,"y"
109167,63055,1,1,585,174,3.36206896551724,0.100393997445722,1.09178472222222,36.5625,10.875,16,13345.3125,0,0,631,57.11,0.00159,0,0,0,0,0,0.00472,0.00318,0.7059,25.53337,12.26371,10.45873,14.45873,2.30872,0.26213,0.00318,0.04105,0.8275,5.71657,6.863,10.84878,1.56808,0.11842,0.00472,0.00631,0.13581,0.86855,1.40703,2.74618,0.84956,0.10898,0.00631,0,0,0.07265,0.15003,0.55588,0.35849,0.12319,0.02052,0,0,0,0.01893,0.21159,0.26844,0.09949,0,25.19226,74.81079,0,0,0,20.74432,79.25873,0,0,0,0.04883,0,69.7113,30.24292,0,0.275,0.82778,0.44444,0.38056,0.175,0.14722,0.09444,0,0,0,"y"
169797,6157,1,1,16659,1671,9.96947935368043,0.184166051599175,0.921381653359947,49.877245508982,5.00299401197605,334,18205.1946107784,0,2,16662,1572.07,0.00166,0.00044,0.01536,0.00018,0,0,0,0,0.33761,22.05677,14.93796,4.89512,1.65469,0.39364,0.08493,0.0021,3.34429,14.58639,17.95451,7.07289,1.0054,0.15004,0.0446,0.00026,0,0.16636,2.54689,3.09606,1.25756,0.49087,0.33237,0.00105,0,0.00105,0.44505,1.10682,1.09451,0.60617,0.03902,0.01859,0,0,9e-05,0.02872,0.10735,0.07271,0.04984,9e-05,38.16681,61.83624,0,0,0,32.31659,67.68799,0,0,0,0,1.94244,77.96783,20.09277,0,0.71111,1.66945,1.57222,0.38333,0.50833,0.57778,0.41111,0.13056,0.04444,0.01389,"y"
115719,3173,4,3,1950,317,6.15141955835962,0.192321416053277,1.15029979035639,36.7924528301887,5.9811320754717,53,13429.2452830189,0,0,1955,149.55,0,0,0,0,0,0,0,0,0.10701,33.06363,16.27636,9.24556,2.7147,0.07878,0,0,0.10519,0.59421,11.1393,14.46778,4.35162,0.20126,0.00046,0,0,0.01821,1.41973,1.84684,1.23806,0.13022,0.00046,0,0,0,0.35471,0.7859,0.56234,0.06283,0,0,0,0,0.05509,0.42437,0.71943,0.03596,0,0,48.94867,51.05286,0,0,0,40.06805,59.93347,0,0,0,0,12.90131,87.01019,0.09155,0,4.33333,14.76111,15.98056,3.15556,1.48056,0.80278,0.72222,0.14167,0,0,"y"
96231,36088,4,1,5526,536,10.3097014925373,0.168482120646766,0.716717592592593,43.8571428571429,4.25396825396825,126,16007.8571428571,0,0,5528,403.32,0,0,0,0,0,0,0,0,0.07992,18.83417,10.18077,9.72862,8.81354,1.32911,0.12141,0.00154,0.0332,0.39899,3.96429,8.94233,15.78494,2.58661,0.20472,0.01169,0,0.00154,0.29939,0.99007,5.10806,1.82892,0.68516,0,0,0,0.07592,0.80441,4.57599,4.42076,0.1835,0,0,0,0.00031,0.00215,0.00768,0.00031,0,0,23.27881,76.72272,0,0,0,20.00427,79.99725,0,0,0,0.02747,16.86096,78.4317,4.68292,0,0.54444,1.08611,1.08333,0.49444,0.66111,1.08056,1.025,1.13333,0.76667,0.025,"y"
90913,22368,3,1,10975,1660,6.61144578313253,0.201389323962517,1.70564427437642,55.9948979591837,8.46938775510204,196,20438.137755102,0,0,10995,980.2,0.00081,0,0,0,0,0,0,0,2.55817,33.34203,17.91209,11.68317,1.74831,0.03946,0.006,0.00032,0.01661,0.80378,5.84369,10.67105,2.95167,0.0436,0.00316,0.00024,0,0.00041,0.7131,4.8755,3.25911,0.04838,0.00324,8e-05,0,0,0.03484,1.42993,1.2886,0.09262,0.01369,0.00178,0,0,0.00016,0.28516,0.28192,0.03873,0.00859,0,53.96729,46.03424,0,0,0,47.81799,52.18353,0,0,0,0.18768,36.31592,42.99164,20.50629,0,1.43611,3.13611,3.50834,2.99722,1.24167,0.89167,0,0,0,0,"y"
140552,56864,1,1,5717,733,7.79945429740791,0.193074351978172,0.655201388888889,26.4675925925926,3.39351851851852,216,9660.6712962963,0,0,5723,439.38,0.00624,0.00037,0.0134,0,0,0,0,0,6.75339,21.21096,22.49149,6.58989,1.81346,0.14681,0.02789,0.00128,0.00972,1.60389,13.76316,12.40737,2.93416,0.14076,0.02202,0.0011,0.00055,0.00092,2.15277,5.33834,1.57838,0.05469,0.01064,0.00092,0,0,0.05487,0.46832,0.24481,0.04037,0.0167,0.00275,0,0,0.00018,0.01468,0.03414,0.03138,0.01725,0,54.61273,45.38879,0,0,0,44.80438,55.19714,0,0,0,0.23041,15.52887,53.66364,30.58167,0,0.18333,0.28889,0.31944,0.30833,0.11111,0.15278,0.01111,0,0,0,"y"
94271,19581,3,1,31818,2292,13.8821989528796,0.216841017064185,1.67905274024024,107.493243243243,7.74324324324324,296,39235.0337837838,0,0,31826,2344.63,0,0,0,0,0,0,0,0,0.26912,18.36797,14.12588,7.06544,0.66364,0.04198,0.00212,0,2.75451,13.52059,17.56898,14.72736,1.97868,0.17733,0.00837,0,0,0.36048,3.47595,4.34791,0.52095,0.01838,0.00049,0,0,0.00011,0.00359,0.00011,5e-05,0,0,0,0,0,0,0,0,0,0,0,14.37531,85.62317,0.00305,0,0,10.38513,89.61639,0,0,0,0,0,49.08905,50.91248,0,0.79445,1.69445,1.27222,0.94722,0.75556,0.69167,0.58333,0.43889,0.28889,0.025,"y"
123776,5989,3,1,30490,2740,11.1277372262774,0.233689365369019,2.23884217171717,106.608391608392,9.58041958041958,286,38912.0629370629,0,2,30430,2312.34,0.00026,0.00013,9e-05,0,0,0,0,0,5.29898,16.24489,14.41243,7.00051,14.12569,1.90929,0.09004,0.00197,0.04452,0.68018,5.38185,5.27978,15.86912,2.2109,0.08602,0.00066,0,0.00389,0.43376,1.3541,5.16792,0.63487,0.038,7e-04,0,0,0.05541,0.3888,1.7935,0.28153,0.03061,0.00074,0,0,0.00743,0.12083,0.85768,0.1782,0.01474,0,11.01074,88.99078,0,0,0,8.01392,91.98761,0,0,0,0.01068,0,26.15356,73.83728,0,4.575,10.20834,6.82223,6.63334,8.09167,7.7139,2.25,0.03611,0,0,"y"
106613,85178,3,1,12085,1362,8.87298091042585,0.252226097242617,1.04735348915989,36.844512195122,4.15243902439024,328,13448.2469512195,0,2,12195,881.17,0,0,0,0,0,0,0,0,8.91355,20.38974,20.14869,14.90368,3.05218,0.27443,0.01046,0.00096,0.03427,3.47793,6.29031,10.16624,3.10759,0.27451,0.00349,0.00052,0,0,0.34905,3.391,1.94783,0.40743,0.00252,0,0,0,0.00334,0.77599,1.01222,0.33585,0.00756,3e-04,0,0,0,0.16867,0.41418,0.13306,0.00245,0,27.80304,72.19849,0,0,0,21.70105,78.30048,0,0,0,0.01373,0,80.20172,19.7876,0,3.37778,4.53334,2.92222,2.77778,1.7,0.73889,0.66944,0.06111,0,0,"y"
