system_readout_id,vehicle_identification_number,engine_type,vehicle_type,mileage,engine_feature_2,engine_feature_3_1,engine_feature_3_2,engine_feature_4,engine_feature_5,engine_feature_6,engine_feature_7,engine_feature_8,engine_feature_9_1,engine_feature_9_2,engine_feature_10_1,engine_feature_10_2,engine_feature_11_1,engine_feature_11_2,engine_feature_11_3,engine_feature_11_4,engine_feature_11_5,engine_feature_11_6,engine_feature_11_7,engine_feature_11_8,engine_feature_11_9,engine_feature_11_10,engine_feature_11_11,engine_feature_11_12,engine_feature_11_13,engine_feature_11_14,engine_feature_11_15,engine_feature_11_16,engine_feature_11_17,engine_feature_11_18,engine_feature_11_19,engine_feature_11_20,engine_feature_11_21,engine_feature_11_22,engine_feature_11_23,engine_feature_11_24,engine_feature_11_25,engine_feature_11_26,engine_feature_11_27,engine_feature_11_28,engine_feature_11_29,engine_feature_11_30,engine_feature_11_31,engine_feature_11_32,engine_feature_11_33,engine_feature_11_34,engine_feature_11_35,engine_feature_11_36,engine_feature_11_37,engine_feature_11_38,engine_feature_11_39,engine_feature_11_40,engine_feature_11_41,engine_feature_11_42,engine_feature_11_43,engine_feature_11_44,engine_feature_11_45,engine_feature_11_46,engine_feature_11_47,engine_feature_11_48,engine_feature_12_1,engine_feature_12_2,engine_feature_12_3,engine_feature_12_4,engine_feature_12_5,engine_feature_13_1,engine_feature_13_2,engine_feature_13_3,engine_feature_13_4,engine_feature_13_5,engine_feature_14_1,engine_feature_14_2,engine_feature_14_3,engine_feature_14_4,engine_feature_14_5,engine_feature_15_1,engine_feature_15_2,engine_feature_15_3,engine_feature_15_4,engine_feature_15_5,engine_feature_15_6,engine_feature_15_7,engine_feature_15_8,engine_feature_15_9,engine_feature_15_10,defect
105616,15862,1,1,593,160,3.70625,0.117692708333333,0.289705128205128,9.12307692307692,2.46153846153846,65,3329.92307692308,0,0,614,62.38,0.01168,0,0,0,0,0,0.00295,0.00147,0.98058,30.32341,11.5521,10.30558,11.32267,2.50041,0.38873,0.01315,0.0424,0.6956,4.25114,7.92206,9.81016,2.00647,0.22506,0.00295,0.00731,0.07307,0.6503,1.95238,2.32943,0.738,0.11984,0.0161,0,0,0.06282,0.23969,0.57576,0.32881,0.15052,0.01315,0,0,0,0.02047,0.14904,0.17682,0.03798,0,35.87494,64.12811,0,0,0,30.78156,69.2215,0,0,0,0.04425,0,44.11774,55.84106,0,0.36667,0.71389,0.99167,1.26667,0.16111,0.06389,0.00556,0,0,0,NA
106603,85172,3,1,13808,1040,13.2769230769231,0.219368990384615,1.00503854625551,60.8281938325991,4.58149779735683,227,22202.2907488987,0,0,13819,933.87,0.00247,0.00012,0.00094,0.00012,0,0,0,0,3.35156,12.53312,13.4633,10.12234,3.77057,0.02181,0.0013,0,0.01556,0.58731,4.00441,16.1012,23.10912,0.04986,0.00224,0.00012,0,0,0.24103,4.15904,5.3352,0.062,0.00165,0,0,0,0.00648,0.94927,1.58279,0.05457,0.00731,0.00071,0,0,0,0.14839,0.28051,0.02758,0.00601,0,43.42651,56.57501,0,0,0,36.93695,63.06458,0,0,0,4.33044,31.01196,44.34357,20.31708,0,1.00556,2.20834,1.75556,1.91667,2.66111,9.17223,0,0,0,0,NA
100835,81323,4,1,1604,324,4.95061728395062,0.124441186556927,0.338814659197012,13.4789915966387,2.72268907563025,119,4919.83193277311,0,0,1615,111.14,0,0,0,0,0,0,0,0,0.30605,20.94643,16.99594,9.5347,13.44867,1.24353,0.02343,0,0.11648,0.60659,3.92087,7.08761,19.77459,1.40414,0.04482,0.00069,0,0.00275,0.19852,0.4708,2.789,0.16545,0.00414,0,0,0,0.04067,0.08755,0.45564,0.04067,0.00139,0,0,0,0.00759,0.06479,0.18957,0.02551,0.00139,0,49.94659,50.05646,0,0,0,45.58411,54.41742,0,0,0,0.02441,8.82568,89.61334,1.54114,0,0.11944,0.50833,0.38333,0.07222,0.05556,0.04444,0.10833,0,0,0,NA
102220,82257,3,1,10340,1056,9.79166666666667,0.242389967382155,1.23654012345679,49.951690821256,5.10144927536232,207,18232.3671497585,0,0,10345,853.25,0.00305,0.00011,0,0,0,0,0,0,0.43915,19.97723,22.45533,10.70172,1.54161,0.0158,0.00055,0,0.03934,1.1552,7.40971,14.20525,9.48822,0.02953,0.00055,0,0,0,0.5515,4.36908,4.08086,0.03912,0.00076,0,0,0,0.03433,1.37543,1.46926,0.07955,0.00316,0.00022,0,0,0.00044,0.23592,0.26774,0.0291,0.0012,0,51.72272,48.27881,0,0,0,41.7984,58.20313,0,0,0,3.67126,45.55206,33.28094,17.49878,0,0.1,0.28056,0.31389,0.13889,0.16667,0.65833,0.00556,0,0,0,NA
94858,77344,3,1,5752,1117,5.14950760966876,0.109726673629762,0.486367835097002,22.8253968253968,4.43253968253968,252,8331.26984126984,0,0,5754,424.15,0.00469,0,0,0,0,0,0,0,1.41954,13.40617,18.35141,14.29939,9.7899,0.36578,0.01565,0,0.04226,0.63274,7.6475,11.26512,10.89038,0.22537,0.00268,0,0,0.00357,0.70899,2.48067,3.53823,0.18155,0.00336,0,0,0,0.11425,0.76041,1.77795,0.22962,0.0152,0,0,0,0.00738,0.19832,1.26505,0.33806,0.01878,0,54.02069,45.98083,0,0,0,45.22247,54.77905,0,0,0,0.02594,9.4986,72.4762,18.00232,0,1.10556,3.26111,2.46667,1.83611,1.45278,0.77222,0.08333,0,0,0,NA
205391,63510,6,20,22358,2072,10.7905405405405,0.204443960478335,1.78737504688233,94.337552742616,8.74261603375527,237,34433.2067510549,0,2,22522,1887.29,0.04802,0.08845,0.0967,0.04124,0.08167,0.00956,0.00057,0,35.24161,3.33909,3.29866,5.72598,7.75688,1.4472,0.57757,0.02671,0.06909,0.66357,1.2899,6.05544,9.86258,1.20447,0.19928,0.01119,0.04606,0.04533,0.27988,3.56066,11.34825,2.2933,0.356,0.01846,0,0.00016,0.01397,0.54213,1.96752,0.93594,0.46283,0.17592,0,0,0,0.00343,0.24011,0.26257,0.31149,0.00057,16.94489,83.02917,0.02747,0,0,14.16626,85.83527,0,0,0,0,5.51605,89.02283,5.46265,0,0.23333,0.775,0.65,0.23889,0.06667,0.08333,0.05833,0,0,0,NA
83572,52285,3,1,2119,823,2.57472660996355,0.106936208991495,0.335910305343511,8.08778625954199,3.1412213740458,262,2952.04198473282,0,2,2121,218.85,0.01572,0,0.00094,0,0,0,0,0,0.41792,31.88799,22.70243,9.39625,2.68104,0.07641,0.00315,0,0.05377,0.67545,11.49524,10.4264,3.56939,0.06824,0.00283,0,0.00063,0.00755,1.42857,2.25716,1.19241,0.01698,0,0,0,0,0.33049,0.59903,0.25691,0.0066,0,0,0,0,0.04245,0.22011,0.16132,0.00661,0,0,97.36786,2.63519,0,0,0,95.08972,4.91333,0,0,0,8.74634,91.01868,0.23804,0,0,1.33612,3.26667,1.40833,0.37778,0.03056,0.07778,0.075,0,0,0,NA
124131,96357,3,1,18790,1273,14.7604084838963,0.24642266736493,1.16183724279835,69.5925925925926,4.71481481481482,270,25401.2962962963,0,0,18793,1236.11,0.00135,0,0.00042,0,0,0,0,0,4.63158,13.62569,12.82602,8.60668,1.37254,0.00846,0.0055,0,0.02031,0.58277,7.43818,22.55202,17.26743,0.03842,0.00169,9e-05,0,0,0.19914,3.3099,5.34112,0.12686,0.00152,0.00051,0,0,0.00195,0.47672,1.23882,0.10892,0.00728,0.00127,0,0,0,0.06229,0.12204,0.01947,0.00305,0,40.28168,59.71985,0,0,0,33.5144,66.48712,0,0,0,0.7431,29.61578,41.63361,28.01056,0,1.74445,4.21667,8.1139,10.37223,9.27223,3.72223,2.76667,0.00556,0,0,NA
98722,79916,3,1,2201,567,3.88183421516755,0.142865912208505,0.586992552334944,15.9492753623188,4.10869565217391,138,5821.48550724638,0,0,2208,222.98,0.00797,0,0,0,0,0,0,0,0.17011,32.06498,24.45659,9.09535,0.48711,0.0045,0,0.00035,0.00727,2.94898,5.61352,13.39341,3.02589,0.01732,0.00312,0,0,0,0.31943,3.19635,2.40887,0.07241,0.00347,0,0,0,0.01941,0.89626,1.06084,0.1604,0.00866,7e-04,0,0,7e-04,0.18917,0.31734,0.04435,0.0052,0,84.74884,15.25269,0,0,0,81.08826,18.91327,0,0,0,1.7868,64.57825,30.23682,3.40271,0,0.15833,0.29444,0.39167,0.62778,0.10833,0,0,0,0,0,NA
107567,19813,3,1,31338,2905,10.7876075731497,0.233008844903423,2.41746676587302,111.921428571429,10.375,280,40851.3214285714,0,0,31347,2163.32,0,4e-05,0.00031,0.00023,0,0,0,0,5.69911,19.49111,16.48572,12.87879,4.7174,0.29459,0.01733,0.00046,0.00969,1.04039,6.32402,13.46237,9.32794,0.62619,0.00981,0.00058,0,0,0.19528,2.68569,3.26843,0.45924,0.02465,0.00147,0,0,0.0019,0.50851,1.25393,0.33567,0.10334,0.0119,0,0,0,0.1069,0.45413,0.16543,0.03744,0,10.47516,89.52637,0,0,0,8.14056,91.86096,0.00153,0,0,0.02899,0.0061,59.86786,40.1001,0,1.975,3.07778,1.70278,1.43889,1.26389,0.50833,0.08056,0.00278,0,0,NA
